,Topic 0 words,Topic 0 weights,author_title
437,źle,4.0,kult-dlaczego_tak_tu_jest
438,ręka,3.0,kult-dlaczego_tak_tu_jest
439,chcieć,3.0,kult-dlaczego_tak_tu_jest
440,the,34.0,kult-children_know_better
441,is,30.0,kult-children_know_better
442,anda,25.0,kult-children_know_better
443,in,22.0,kult-children_know_better
444,cały,35.0,kult-moj_dom_pali_sie
445,bóg,33.0,kult-moj_dom_pali_sie
446,dna,25.0,kult-moj_dom_pali_sie
447,kochać,23.0,kult-moj_dom_pali_sie
448,bóg,23.0,kult-moj_bog_pali_sie
449,cały,19.0,kult-moj_bog_pali_sie
450,pali,17.0,kult-moj_bog_pali_sie
451,dna,13.0,kult-moj_bog_pali_sie
452,posłuchać,13.0,kult-czterej_glupcy
453,miecz,7.0,kult-czterej_glupcy
454,mieć,5.0,kult-czterej_glupcy
455,pieniądz,5.0,kult-czterej_glupcy
456,morderca,10.0,kult-knajpa_mordercow
457,oczyć,4.0,kult-knajpa_mordercow
458,knajpa,4.0,kult-knajpa_mordercow
459,twarz,4.0,kult-knajpa_mordercow
460,noony,22.0,kult-ballada_o_dwoch_siostrach
461,hej,10.0,kult-ballada_o_dwoch_siostrach
462,x,8.0,kult-ballada_o_dwoch_siostrach
463,hajs,8.0,kult-ballada_o_dwoch_siostrach
464,anda,10.0,kult-angelo_jacopucci
465,ita,10.0,kult-angelo_jacopucci
466,oh,9.0,kult-angelo_jacopucci
467,the,7.0,kult-angelo_jacopucci
468,zrobić,10.0,kult-madryt
469,tło,4.0,kult-madryt
470,has,4.0,kult-madryt
471,mówić,4.0,kult-madryt
472,staćv,14.0,kult-dziewczyna_bez_zeba_na_przedzie
473,myśleć,10.0,kult-dziewczyna_bez_zeba_na_przedzie
474,dwa,8.0,kult-dziewczyna_bez_zeba_na_przedzie
475,wybrać,5.0,kult-dziewczyna_bez_zeba_na_przedzie
476,fever,37.0,kult-fever__fever__fever
477,day,13.0,kult-fever__fever__fever
478,is,9.0,kult-fever__fever__fever
479,for,8.0,kult-fever__fever__fever
480,odejść,22.0,kult-odejde
481,stąd,7.0,kult-odejde
482,prąd,7.0,kult-odejde
483,wyłączyć,7.0,kult-odejde
484,dwadzieścia,9.0,kult-na_zachod
485,cztery,9.0,kult-na_zachod
486,pięć,5.0,kult-na_zachod
487,zachód,5.0,kult-na_zachod
488,chcieć,17.0,kult-oni_chca_ciebie
489,głupiec,7.0,kult-oni_chca_ciebie
490,widzieć,5.0,kult-oni_chca_ciebie
491,mienić,4.0,kult-oni_chca_ciebie
492,miłość,26.0,kult-dla_twojej_milosci
493,twója,26.0,kult-dla_twojej_milosci
494,iran,7.0,kult-dla_twojej_milosci
495,casablanca,4.0,kult-dla_twojej_milosci
496,hej,29.0,kult-poznaj_swoj_raj
497,marność,9.0,kult-poznaj_swoj_raj
498,swój,9.0,kult-poznaj_swoj_raj
499,poznać,8.0,kult-poznaj_swoj_raj
500,normalnya,11.0,kult-henryk_wujek
501,śmiać,6.0,kult-henryk_wujek
502,prosto,6.0,kult-henryk_wujek
503,dziać,6.0,kult-henryk_wujek
504,leżeć,10.0,kult-kwaska
505,ciągle,8.0,kult-kwaska
506,kłaść,7.0,kult-kwaska
507,źle,5.0,kult-kwaska
508,myśliwya,13.0,kult-elektryczne_nozyce
509,koncepcja,7.0,kult-elektryczne_nozyce
510,widzieć,7.0,kult-elektryczne_nozyce
